case_id,pin_code,district,state,land_type,rfctlarr_stage,land_parcel_area_acres,compensation_amount_lakhs,days_since_notification,number_of_displaced_families,litigation_cases_count,social_vulnerability_index,official_processing_speed_score,delay_probability,delay_months
LA-2024-00001,506404,Warangal,Telangana,Commercial,Award Enquiry (Sec 21-23),2.2,90.67,182.0,11.0,0,0.491,7.4,0,0.0
LA-2024-00002,800296,Patna,Bihar,Commercial,Possession,5.37,18.97,70.0,18.0,0,0.696,7.0,0,0.0
LA-2024-00003,226567,Lucknow,Uttar Pradesh,Agricultural,Preliminary Notification (Sec 11),4.73,375.53,287.0,1.0,3,0.335,7.2,1,30.6
LA-2024-00004,440695,Nagpur,Maharashtra,Agricultural,Survey & SIA (Social Impact Assessment),6.24,119.8,336.0,7.0,0,0.437,1.6,1,21.7
LA-2024-00005,411335,Pune,Maharashtra,Agricultural,Award Enquiry (Sec 21-23),14.22,31.84,363.0,5.0,0,0.576,7.6,1,29.1
LA-2024-00006,751789,Khordha,Odisha,Agricultural,Draft Declaration (Sec 19),17.46,35.76,202.0,2.0,0,0.669,6.9,0,0.0
LA-2024-00007,506674,Warangal,Telangana,Agricultural,Award Enquiry (Sec 21-23),4.68,274.83,65.0,5.0,0,0.403,9.0,0,0.0
LA-2024-00008,201249,Gautam Buddha Nagar,Uttar Pradesh,Wetland,Award Enquiry (Sec 21-23),5.63,31.91,259.0,1.0,0,0.394,5.3,1,16.5
LA-2024-00009,570943,Mysuru,Karnataka,Agricultural,Award Declaration,27.69,28.54,300.0,6.0,0,0.573,5.9,1,10.2
LA-2024-00010,506139,Warangal,Telangana,Agricultural,Preliminary Notification (Sec 11),46.97,132.8,193.0,6.0,1,0.71,8.6,0,0.0
LA-2024-00011,380687,Ahmedabad,Gujarat,Commercial,Final Declaration,32.06,11.82,236.0,14.0,0,0.644,6.7,1,14.8
LA-2024-00012,110495,South Delhi,Delhi,Agricultural,Award Declaration,2.72,41.5,54.0,9.0,2,,2.9,1,19.8
LA-2024-00013,221687,Varanasi,Uttar Pradesh,Agricultural,Draft Declaration (Sec 19),30.3,48.42,233.0,3.0,1,0.358,7.0,1,23.7
